obsnme obsval
c001pr09c12_19791231 25.751629
c001pr09c12_19800101 25.57182
c001pr09c13_19700101 45.0
c001pr09c13_19700102 25.275072
c001pr09c13_19791231 25.156956
c001pr09c13_19800101 25.003366
c001pr09c14_19700101 45.0
c001pr09c14_19700102 24.655365
c001pr09c14_19791231 24.556341
c001pr09c14_19800101 24.440681
c001pr09c15_19700101 45.0
c001pr09c15_19700102 23.85719
c001pr09c15_19791231 23.780872
c001pr09c15_19800101 23.71484
c001pr09c16_19700101 45.0
c001pr09c16_19700102 22.706646
c001pr09c16_19791231 22.627571
c001pr09c16_19800101 22.62335
c001pr09c17_19700101 45.0
c001pr09c17_19700102 23.363808
c001pr09c17_19791231 23.318535
c001pr09c17_19800101 23.306524
c001pr09c18_19700101 45.0
c001pr09c18_19700102 23.767298
c001pr09c18_19791231 23.725735
c001pr09c18_19800101 23.70784
c001pr09c19_19700101 45.0
c001pr09c19_19700102 24.030392
c001pr09c19_19791231 23.987503
c001pr09c19_19800101 23.965374
c001pr09c20_19700101 45.0
c001pr09c20_19700102 24.163113
c001pr09c20_19791231 24.118702
c001pr09c20_19800101 24.094147
c001pr10c01_19700101 45.0
c001pr10c01_19700102 31.952972
c001pr10c01_19791231 31.868912
c001pr10c01_19800101 31.526442
c001cr10c02_19700101 45.0
c001cr10c02_19700102 31.881777
c001cr10c02_19791231 31.797453
c001cr10c02_19800101 31.456667
c001pr10c02_19700101 45.0
c001pr10c02_19700102 31.881777
c001pr10c02_19791231 31.797453
c001pr10c02_19800101 31.456667
c001pr10c03_19700101 45.0
c001pr10c03_19700102 31.822594
c001pr10c03_19791231 31.738247
c001pr10c03_19800101 31.399311
c001pr10c04_19700101 45.0
c001pr10c04_19700102 31.758963
c001pr10c04_19791231 31.674511
c001pr10c04_19800101 31.337498
c001pr10c09_19700101 45.0
c001pr10c09_19700102 26.809467
c001pr10c09_19791231 26.692411
c001pr10c09_19800101 26.468405
c001pr10c10_19700101 45.0
c001pr10c10_19700102 26.485737
c001pr10c10_19791231 26.36316
c001pr10c10_19800101 26.146887
c001pr10c11_19700101 45.0
c001pr10c11_19700102 26.051538
c001pr10c11_19791231 25.919897
c001pr10c11_19800101 25.715044
c001pr10c12_19700101 45.0
c001pr10c12_19700102 25.502626
c001pr10c12_19791231 25.357286
c001pr10c12_19800101 25.168142
c001pr10c13_19700101 45.0
c001pr10c13_19700102 24.752924
c001pr10c13_19791231 24.589828
c001pr10c13_19800101 24.424175
c001pr10c14_19700101 45.0
c001pr10c14_19700102 24.261993
c001pr10c14_19791231 24.136776
c001pr10c14_19800101 24.011992
c001pr10c15_19700101 45.0
c001pr10c15_19700102 23.607193
c001pr10c15_19791231 23.529577
c001pr10c15_19800101 23.458288
c001pr10c16_19700101 45.0
c001pr10c16_19700102 22.695095
c001pr10c16_19791231 22.681173
c001pr10c16_19800101 22.676819
c001pr10c17_19700101 45.0
c001pr10c17_19700102 23.222103
c001pr10c17_19791231 23.188503
c001pr10c17_19800101 23.175459
c001pr10c18_19700101 45.0
c001pr10c18_19700102 23.616695
c001pr10c18_19791231 23.576298
c001pr10c18_19800101 23.556639
c001pr10c19_19700101 45.0
c001pr10c19_19700102 23.88655
c001pr10c19_19791231 23.842344
c001pr10c19_19800101 23.817934
c001pr10c20_19700101 45.0
c001pr10c20_19700102 24.011213
c001pr10c20_19791231 23.96511
c001pr10c20_19800101 23.938229
c001pr11c01_19700101 45.0
c001pr11c01_19700102 32.047752
c001pr11c01_19791231 31.963938
c001pr11c01_19800101 31.613447
c001pr11c02_19700101 45.0
c001pr11c02_19700102 32.007122
c001pr11c02_19791231 31.923151
c001pr11c02_19800101 31.573977
c001pr11c03_19700101 45.0
c001pr11c03_19700102 31.965912
c001pr11c03_19791231 31.88186
c001pr11c03_19800101 31.53412
c001pr11c04_19700101 45.0
c001pr11c04_19700102 31.940723
c001pr11c04_19791231 31.856668
c001pr11c04_19800101 31.50971
c001pr11c09_19700101 45.0
c001pr11c09_19700102 26.453415
c001pr11c09_19791231 26.329056
c001pr11c09_19800101 26.10217
c001pr11c10_19700101 45.0
c001pr11c10_19700102 26.187668
c001pr11c10_19791231 26.056513
c001pr11c10_19800101 25.835598
c001pr11c11_19700101 45.0
c001pr11c11_19700102 25.780859
c001pr11c11_19791231 25.636679
c001pr11c11_19800101 25.42522
c001pr11c12_19700101 45.0
c001pr11c12_19700102 25.098497
c001pr11c12_19791231 24.922506
c001pr11c12_19800101 24.723501
c001pr11c13_19700101 45.0
c001pr11c13_19700102 23.570127
c001pr11c13_19791231 23.288166
c001pr11c13_19800101 23.104311
c001pr11c14_19700101 45.0
c001pr11c14_19700102 23.781895
c001pr11c14_19791231 23.622309
c001pr11c14_19800101 23.48819
c001pr11c15_19700101 45.0
c001pr11c15_19700102 23.299856
c001pr11c15_19791231 23.215908
c001pr11c15_19800101 23.141394
c001pr11c16_19700101 45.0
