name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
PRSITY210,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY211,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY212,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY213,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY214,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY215,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY216,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY217,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY218,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY219,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY220,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY221,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY222,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY223,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY224,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY225,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY226,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY227,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY228,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY229,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY230,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY231,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
RECH000,0,0.0672113,-0.134423,0.134423,0,0.0670987,-0.134197,0.134197
RECH001,0,0.0672113,-0.134423,0.134423,0,0.0670655,-0.134131,0.134131
RECH002,0,0.0672113,-0.134423,0.134423,0,0.0670523,-0.134105,0.134105
RECH003,0,0.0672113,-0.134423,0.134423,0,0.0670054,-0.134011,0.134011
RECH004,0,0.0672113,-0.134423,0.134423,0,0.0670331,-0.134066,0.134066
RECH005,0,0.0672113,-0.134423,0.134423,0,0.0671076,-0.134215,0.134215
RECH006,0,0.0672113,-0.134423,0.134423,0,0.0671214,-0.134243,0.134243
RECH007,0,0.0672113,-0.134423,0.134423,0,0.0670883,-0.134177,0.134177
RECH008,0,0.0672113,-0.134423,0.134423,0,0.0669322,-0.133864,0.133864
RECH009,0,0.0672113,-0.134423,0.134423,0,0.0671147,-0.134229,0.134229
RECH010,0,0.0672113,-0.134423,0.134423,0,0.0671118,-0.134224,0.134224
RECH011,0,0.0672113,-0.134423,0.134423,0,0.0670155,-0.134031,0.134031
RECH012,0,0.0672113,-0.134423,0.134423,0,0.0670945,-0.134189,0.134189
RECH013,0,0.0672113,-0.134423,0.134423,0,0.0671143,-0.134229,0.134229
RECH014,0,0.0672113,-0.134423,0.134423,0,0.0670747,-0.134149,0.134149
RECH015,0,0.0672113,-0.134423,0.134423,0,0.0671338,-0.134268,0.134268
RECH016,0,0.0672113,-0.134423,0.134423,0,0.0671129,-0.134226,0.134226
RECH017,0,0.0672113,-0.134423,0.134423,0,0.0670591,-0.134118,0.134118
RECH018,0,0.0672113,-0.134423,0.134423,0,0.0671451,-0.13429,0.13429
RECH019,0,0.0672113,-0.134423,0.134423,0,0.0671332,-0.134266,0.134266
RECH020,0,0.0672113,-0.134423,0.134423,0,0.0670851,-0.13417,0.13417
RECH021,0,0.0672113,-0.134423,0.134423,0,0.0670602,-0.13412,0.13412
RECH022,0,0.0672113,-0.134423,0.134423,0,0.0670986,-0.134197,0.134197
RECH023,0,0.0672113,-0.134423,0.134423,0,0.0671645,-0.134329,0.134329
RECH024,0,0.0672113,-0.134423,0.134423,0,0.0671071,-0.134214,0.134214
RECH025,0,0.0672113,-0.134423,0.134423,0,0.067083,-0.134166,0.134166
RECH026,0,0.0672113,-0.134423,0.134423,0,0.0671268,-0.134254,0.134254
RECH027,0,0.0672113,-0.134423,0.134423,0,0.0671628,-0.134326,0.134326
RECH028,0,0.0672113,-0.134423,0.134423,0,0.0670939,-0.134188,0.134188
RECH029,0,0.0672113,-0.134423,0.134423,0,0.0670344,-0.134069,0.134069
RECH030,0,0.0672113,-0.134423,0.134423,0,0.0670755,-0.134151,0.134151
RECH031,0,0.0672113,-0.134423,0.134423,0,0.0670836,-0.134167,0.134167
SS000,0,0.5,-1,1,0,0.499997,-0.999994,0.999994
SS001,0,0.5,-1,1,0,0.499997,-0.999994,0.999994
SS002,0,0.5,-1,1,0,0.499997,-0.999994,0.999994
SS003,0,0.5,-1,1,0,0.499996,-0.999991,0.999991
SS004,0,0.5,-1,1,0,0.499997,-0.999994,0.999994
SS005,0,0.5,-1,1,0,0.499996,-0.999993,0.999993
SS006,0,0.5,-1,1,0,0.499997,-0.999993,0.999993
SS007,0,0.5,-1,1,0,0.499996,-0.999991,0.999991
SS008,0,0.5,-1,1,0,0.499994,-0.999989,0.999989
SS009,0,0.5,-1,1,0,0.499996,-0.999993,0.999993
SS010,0,0.5,-1,1,0,0.499996,-0.999993,0.999993
SS011,0,0.5,-1,1,0,0.499995,-0.999989,0.999989
SS012,0,0.5,-1,1,0,0.499996,-0.999992,0.999992
SS013,0,0.5,-1,1,0,0.499996,-0.999993,0.999993
SS014,0,0.5,-1,1,0,0.499995,-0.999991,0.999991
SS015,0,0.5,-1,1,0,0.499997,-0.999994,0.999994
SS016,0,0.5,-1,1,0,0.499997,-0.999994,0.999994
SS017,0,0.5,-1,1,0,0.499995,-0.99999,0.99999
SS018,0,0.5,-1,1,0,0.499996,-0.999993,0.999993
SS019,0,0.5,-1,1,0,0.499997,-0.999994,0.999994
SS020,0,0.5,-1,1,0,0.499997,-0.999994,0.999994
SS021,0,0.5,-1,1,0,0.499995,-0.999991,0.999991
SS022,0,0.5,-1,1,0,0.499996,-0.999992,0.999992
SS023,0,0.5,-1,1,0,0.499997,-0.999994,0.999994
SS024,0,0.5,-1,1,0,0.499996,-0.999992,0.999992
SS025,0,0.5,-1,1,0,0.499996,-0.999991,0.999991
SS026,0,0.5,-1,1,0,0.499996,-0.999992,0.999992
SS027,0,0.5,-1,1,0,0.499997,-0.999994,0.999994
SS028,0,0.5,-1,1,0,0.499996,-0.999993,0.999993
SS029,0,0.5,-1,1,0,0.499996,-0.999992,0.999992
SS030,0,0.5,-1,1,0,0.499997,-0.999993,0.999993
SS031,0,0.5,-1,1,0,0.499996,-0.999993,0.999993
SS100,0,0.5,-1,1,0,0.499997,-0.999994,0.999994
SS101,0,0.5,-1,1,0,0.499997,-0.999994,0.999994
SS102,0,0.5,-1,1,0,0.499997,-0.999994,0.999994
SS103,0,0.5,-1,1,0,0.499996,-0.999991,0.999991
SS104,0,0.5,-1,1,0,0.499997,-0.999994,0.999994
SS105,0,0.5,-1,1,0,0.499996,-0.999993,0.999993
SS106,0,0.5,-1,1,0,0.499997,-0.999993,0.999993
SS107,0,0.5,-1,1,0,0.499996,-0.999991,0.999991
SS108,0,0.5,-1,1,0,0.499994,-0.999989,0.999989
